address,LATITUDE,LONGITUDE
238 HOUGANG AVE 1,1.357144094,103.8889701
637 BEDOK RESERVOIR RD,1.331066906,103.9039326
4 BOON KENG RD,1.315698964,103.8597852
157 SIMEI RD,1.344621596,103.9594175
1 MARINE TER,1.304829022,103.918615
427 BEDOK NTH RD,1.329108884,103.9277342
5 CHANGI VILLAGE RD,1.3888534,103.986846
6 FARRER RD,1.317319712,103.8080572
517C JURONG WEST ST 52,1.344936308,103.7200246
259A COMPASSVALE RD,1.393905906,103.8967321
141 MARSILING RD,1.4373687,103.7770722
182 STIRLING RD,1.295382633,103.8049624
878 TAMPINES AVE 8,1.352211871,103.9313823
240 LOR 1 TOA PAYOH,1.340876446,103.85083
413 BEDOK NTH AVE 2,1.330301637,103.9310862
838 WOODLANDS ST 82,1.441899984,103.7912336
550 SERANGOON NTH AVE 3,1.372709913,103.8706048
728 WOODLANDS CIRCLE,1.442880202,103.7988878
168 STIRLING RD,1.290020507,103.803188
185 JELEBU RD,1.379355256,103.7622965
651A JURONG WEST ST 61,1.33707182,103.6979383
807 TAMPINES AVE 4,1.345866245,103.9360934
2 BEDOK STH AVE 1,1.321301188,103.9332996
60 NEW UPP CHANGI RD,1.322478077,103.9412546
138 POTONG PASIR AVE 3,1.33356221,103.8654586
118 CLEMENTI ST 13,1.324917987,103.7718911
346 YISHUN AVE 11,1.428459351,103.8435688
26 TECK WHYE LANE,1.377621124,103.75574
357 YUNG AN RD,1.336828968,103.7211176
321B ANCHORVALE DR,1.390561631,103.8922662
717B WOODLANDS DR 70,1.441370233,103.7985427
47 BENDEMEER RD,1.323397413,103.866812
7 TG PAGAR PLAZA,1.277120122,103.8431177
692 HOUGANG ST 61,1.376647194,103.8867716
722 PASIR RIS ST 72,1.380963752,103.9368903
14A LOR 7 TOA PAYOH,1.336268208,103.8583152
65 NEW UPP CHANGI RD,1.324678528,103.9397703
334 HOUGANG AVE 5,1.368862166,103.8979544
231 HOUGANG ST 21,1.358130597,103.8879
229 ANG MO KIO AVE 3,1.369076459,103.8382287
40 TELOK BLANGAH RISE,1.272099266,103.8232451
230 TAMPINES ST 24,1.355932426,103.9527466
265C PUNGGOL WAY,1.40499729,103.8985186
322 SERANGOON AVE 3,1.351755071,103.8686624
274B COMPASSVALE BOW,1.381922771,103.8908757
219 BISHAN ST 23,1.357397279,103.8494302
307 JURONG EAST ST 32,1.346521518,103.7348431
112 SERANGOON NTH AVE 1,1.369199969,103.8715888
53 TEBAN GDNS RD,1.321377097,103.7375776
223 YISHUN ST 21,1.434367273,103.8356027
252 KIM KEAT LINK,1.33121483,103.8572418
892 TAMPINES AVE 8,1.349012829,103.9292428
127 MARSILING RISE,1.438119418,103.7794643
663A PUNGGOL DR,1.400243476,103.91708
272 TOH GUAN RD,1.342104131,103.7454087
351B CANBERRA RD,1.450860772,103.8199728
832 HOUGANG CTRL,1.370634202,103.889799
580 HOUGANG AVE 4,1.378952246,103.886777
543 JURONG WEST ST 42,1.351863252,103.7157986
421 WOODLANDS ST 41,1.427774302,103.7746217
308B PUNGGOL WALK,1.407802653,103.8996094
670 JLN DAMAI,1.332518718,103.9082833
547B SEGAR RD,1.388437745,103.7692526
607 SENJA RD,1.382519651,103.7615163
523A TAMPINES CTRL 7,1.359370987,103.9383786
17A TELOK BLANGAH CRES,1.277382607,103.821604
226 PASIR RIS ST 21,1.371012121,103.9617259
304 SERANGOON AVE 2,1.353813453,103.867773
975 JURONG WEST ST 93,1.340241479,103.6935496
528 WOODLANDS DR 14,1.431489272,103.7925584
547 WOODLANDS DR 16,1.430162312,103.7929876
502 JURONG WEST AVE 1,1.350437758,103.7181138
670A EDGEFIELD PLAINS,1.405383412,103.9129608
288E BT BATOK ST 25,1.345512407,103.7588975
810 WOODLANDS ST 81,1.442672212,103.7881523
220C BEDOK CTRL,1.325531755,103.9338545
102 TECK WHYE LANE,1.377082841,103.7543944
9 TOH YI DR,1.338304798,103.7735416
554 WOODLANDS DR 53,1.432104164,103.7964908
718 BEDOK RESERVOIR RD,1.336630599,103.9257485
867 WOODLANDS ST 83,1.442162671,103.7931296
430 TAMPINES ST 41,1.359552581,103.9501482
107 PASIR RIS ST 12,1.367509667,103.9575189
455 SIN MING AVE,1.358728426,103.8306428
105 JLN RAJAH,1.3285791,103.8538725
604 ELIAS RD,1.376245278,103.9432648
251 YISHUN RING RD,1.434748448,103.8413872
210 BT BATOK ST 21,1.345480082,103.7499561
462 CLEMENTI AVE 3,1.31109876,103.7659064
899 TAMPINES ST 81,1.346529142,103.9354537
285B TOH GUAN RD,1.338423949,103.7468549
456 CHOA CHU KANG AVE 4,1.379021762,103.7352147
157 LOR 1 TOA PAYOH,1.332206263,103.8454529
4C ST. GEORGE'S LANE,1.322194974,103.8608318
420 BEDOK NTH ST 1,1.327744679,103.9288744
314 HOUGANG AVE 5,1.364764652,103.8942188
83 REDHILL LANE,1.286868975,103.8194359
242 HOUGANG ST 22,1.357388977,103.8921679
4 TECK WHYE AVE,1.381939295,103.7528067
331C ANCHORVALE ST,1.395577911,103.8897737
631 CHOA CHU KANG NTH 6,1.396609611,103.7481052
503B CANBERRA LINK,1.450394565,103.8220664
28 BENDEMEER RD,1.318698325,103.8632322
709 YISHUN AVE 5,1.428569002,103.8277354
654B JURONG WEST ST 61,1.336161152,103.6979399
54 GEYLANG BAHRU,1.323883719,103.8678648
411 PASIR RIS DR 6,1.37250232,103.9543667
446 CHOA CHU KANG AVE 4,1.380712996,103.7368914
255 BANGKIT RD,1.379586635,103.7730532
403 PANDAN GDNS,1.320329641,103.7493901
364 TAMPINES ST 34,1.35693801,103.9598735
836 TAMPINES ST 82,1.350576894,103.9352048
163A RIVERVALE CRES,1.389558899,103.9088169
1A WOODLANDS CTR RD,1.441957284,103.7709939
216C COMPASSVALE DR,1.390473611,103.8943181
893C WOODLANDS DR 50,1.436318427,103.7904601
758 PASIR RIS ST 71,1.376824237,103.9333195
731 YISHUN ST 72,1.428348586,103.8311163
436 FAJAR RD,1.382259136,103.7702689
526 CHOA CHU KANG ST 51,1.391354054,103.7418933
275A COMPASSVALE LINK,1.382874162,103.8946037
196D PUNGGOL FIELD,1.399660814,103.9072345
606 ELIAS RD,1.37666667,103.9426484
292 TAMPINES ST 22,1.350183594,103.9557757
636 PASIR RIS DR 1,1.376790486,103.9407416
536 PASIR RIS DR 1,1.370631438,103.9498276
744 YISHUN ST 72,1.429337058,103.834043
532 ANG MO KIO AVE 10,1.373808515,103.8545942
514 JURONG WEST ST 52,1.346748456,103.7201532
129 BEDOK NTH ST 2,1.327554432,103.9380305
503 PASIR RIS ST 52,1.375708798,103.9454818
124B RIVERVALE DR,1.38829484,103.9031585
129 BT MERAH VIEW,1.283578705,103.8238192
605 JURONG WEST ST 62,1.338457974,103.6995644
32 GHIM MOH LINK,1.310063407,103.7844981
354 CLEMENTI AVE 2,1.313513864,103.7708611
435C FERNVALE RD,1.393599788,103.876913
837 JURONG WEST ST 81,1.343077335,103.692906
715 JURONG WEST ST 71,1.34374461,103.6964188
646 PUNGGOL CTRL,1.398148805,103.9157809
722 TAMPINES ST 72,1.359892545,103.9358593
246 YISHUN AVE 9,1.435090858,103.842691
647 JURONG WEST ST 61,1.340111291,103.6973881
23 HOUGANG AVE 3,1.364866664,103.890728
637 CHOA CHU KANG NTH 6,1.397379525,103.748139
164A RIVERVALE CRES,1.390070297,103.9072732
84 TELOK BLANGAH HTS,1.276853136,103.8099486
688A CHOA CHU KANG DR,1.403963875,103.7505663
256 TAMPINES ST 21,1.353235727,103.9499466
201 JURONG EAST ST 21,1.33640567,103.7430754
233 JURONG EAST ST 21,1.340374621,103.7409366
630 PASIR RIS DR 3,1.378382153,103.9410968
842C TAMPINES ST 82,1.350928954,103.9367585
474 SEMBAWANG DR,1.450712103,103.8165436
162A RIVERVALE CRES,1.390359613,103.9076367
202 YISHUN ST 21,1.430661919,103.8373343
26A JLN MEMBINA,1.283062285,103.8260599
602 HOUGANG AVE 4,1.371232979,103.886918
104 TECK WHYE LANE,1.377081621,103.7528704
642 HOUGANG AVE 8,1.371698789,103.8799483
406B FERNVALE RD,1.38842869,103.8743229
23B QUEEN'S CL,1.294073335,103.8000265
363 HOUGANG AVE 5,1.369900384,103.8963935
335 SEMBAWANG CL,1.447163473,103.8150135
111 CLEMENTI ST 13,1.323216054,103.7711261
716 YISHUN ST 71,1.426210966,103.8277041
645 PASIR RIS DR 10,1.378419649,103.9377905
34 BEDOK STH AVE 2,1.322056529,103.9383547
3 HOLLAND CL,1.308208713,103.7966389
113 SIMEI ST 1,1.342854256,103.9498804
5 TOH YI DR,1.338202368,103.7745226
155 LOR 1 TOA PAYOH,1.332796311,103.8455886
104 BEDOK NTH AVE 4,1.333298521,103.9366015
70B TELOK BLANGAH HTS,1.276749457,103.8105415
605 WOODLANDS DR 42,1.437185595,103.7970904
818 TAMPINES ST 81,1.347972295,103.9368382
36 CIRCUIT RD,1.329026079,103.8869308
121D CANBERRA ST,1.447037762,103.8339235
106 SPOTTISWOODE PK RD,1.273566738,103.8340582
408 BEDOK NTH AVE 2,1.328523202,103.932856
308C ANCHORVALE RD,1.389227472,103.8868447
574B WOODLANDS DR 16,1.42968121,103.7972198
252 PASIR RIS ST 21,1.368172718,103.9625637
209 TOA PAYOH NTH,1.341853483,103.8448147
678D JURONG WEST ST 64,1.344864896,103.7033954
313 WOODLANDS ST 31,1.430803873,103.7761724
31 HOLLAND CL,1.306975268,103.7970803
443 ANG MO KIO AVE 10,1.366043889,103.855369
231 CHOA CHU KANG CTRL,1.38008136,103.7461131
1 EVERTON PK,1.277426543,103.8400012
422 ANG MO KIO AVE 3,1.367999888,103.8518739
64 MARINE DR,1.302112802,103.9094814
365B UPP SERANGOON RD,1.36920419,103.8975129
329 ANG MO KIO AVE 3,1.366599086,103.8468744
297 TAMPINES ST 22,1.351149909,103.9547925
309 HOUGANG AVE 5,1.366205547,103.8951524
206 CLEMENTI AVE 6,1.321501158,103.7622287
227A COMPASSVALE DR,1.387044698,103.9003587
112 YISHUN RING RD,1.434168645,103.829055
405 HOUGANG AVE 10,1.374049696,103.8964593
880 TAMPINES AVE 8,1.351326082,103.9314788
283 CHOA CHU KANG AVE 3,1.379708716,103.7428712
520 JURONG WEST ST 52,1.346098838,103.7178764
662 YISHUN AVE 4,1.420539324,103.8406901
117 PENDING RD,1.377301281,103.7679793
110 LOR 1 TOA PAYOH,1.341552751,103.8463859
210 BOON LAY PL,1.347645928,103.7129332
638 CHOA CHU KANG ST 64,1.397806514,103.7483725
245 SERANGOON AVE 2,1.352440857,103.8691775
80 LOR 4 TOA PAYOH,1.335263461,103.8485168
636 CHOA CHU KANG NTH 6,1.397277753,103.748932
628A WOODLANDS RING RD,1.434974774,103.8008507
361 YISHUN RING RD,1.428324759,103.8459083
937 HOUGANG ST 92,1.374744873,103.8792971
323B SENGKANG EAST WAY,1.392095507,103.8925507
10 YUNG KUANG RD,1.331738251,103.722412
526 JELAPANG RD,1.385458629,103.7652187
805 YISHUN RING RD,1.417427227,103.8315889
329 BT BATOK ST 33,1.363126337,103.7474185
512 WEST COAST DR,1.309959001,103.7602103
244 HOUGANG ST 22,1.358072532,103.8919468
220 PASIR RIS ST 21,1.369872342,103.9615826
387 TAMPINES ST 32,1.355303144,103.9587762
15 TECK WHYE LANE,1.379133573,103.7547387
231 BT BATOK EAST AVE 5,1.34908255,103.7545182
254 COMPASSVALE RD,1.394267751,103.8997517
713 CLEMENTI WEST ST 2,1.304127842,103.7622063
542 WOODLANDS DR 16,1.427731875,103.7936251
331A ANCHORVALE ST,1.395949757,103.8904679
914 TAMPINES ST 91,1.349027771,103.9395684
659 WOODLANDS RING RD,1.435997973,103.7990658
849 YISHUN RING RD,1.416983166,103.8352182
185 EDGEFIELD PLAINS,1.398068147,103.9101669
533 SERANGOON NTH AVE 4,1.37453578,103.8745983
257 BOON LAY DR,1.34582026,103.7082524
359 YUNG AN RD,1.336111403,103.721401
543 BEDOK NTH ST 3,1.330336594,103.9232235
752 JURONG WEST ST 74,1.348527627,103.6994288
333 HOUGANG AVE 5,1.368497615,103.898423
406 WOODLANDS ST 41,1.429403896,103.7727281
30 TEBAN GDNS RD,1.320822826,103.7390755
418 JURONG WEST ST 42,1.351144544,103.7264731
561B JURONG WEST ST 42,1.354771027,103.7196726
290C BT BATOK EAST AVE 3,1.344095802,103.7572753
194 BISHAN ST 13,1.348299123,103.8514194
107 BT PURMEI RD,1.273101655,103.8245086
445 CLEMENTI AVE 3,1.313359326,103.7639026
24 TELOK BLANGAH CRES,1.275409491,103.8206605
629 HOUGANG AVE 8,1.369954124,103.8812179
43 MARINE CRES,1.305518881,103.913022
425 FAJAR RD,1.385857994,103.769496
112 PASIR RIS ST 11,1.367705774,103.9557964
215 BOON LAY PL,1.348684375,103.7123598
117 SIMEI ST 1,1.344585551,103.9513156
263 WATERLOO ST,1.298608861,103.852267
151 JLN TECK WHYE,1.378410614,103.7572511
699B HOUGANG ST 52,1.376702901,103.888277
118 HOUGANG AVE 1,1.353459572,103.887488
502 WOODLANDS DR 14,1.433180088,103.7917904
415 YISHUN AVE 11,1.424442637,103.8458701
316 BT BATOK ST 32,1.360576605,103.746834
123C RIVERVALE DR,1.386408522,103.9022221
698B JURONG WEST CTRL 3,1.340651295,103.7075062
124 SERANGOON NTH AVE 1,1.366186896,103.8714195
777 WOODLANDS CRES,1.447860593,103.799328
524 CHOA CHU KANG ST 51,1.391578626,103.7411579
129 PASIR RIS ST 11,1.366518697,103.9556234
771 WOODLANDS DR 60,1.446765941,103.7979619
57 CHAI CHEE DR,1.325926451,103.9203125
291 TAMPINES ST 22,1.350022498,103.955182
6 TELOK BLANGAH CRES,1.278140813,103.818484
45 JLN BAHAGIA,1.327535232,103.8572876
294 PUNGGOL CTRL,1.402571817,103.9046355
155 JLN TECK WHYE,1.378936937,103.7571651
805 TAMPINES AVE 4,1.346115458,103.9374085
549 PASIR RIS ST 51,1.367866285,103.9535071
588B ANG MO KIO ST 52,1.371975713,103.8531509
214 JURONG EAST ST 21,1.33928626,103.7389852
147 PASIR RIS ST 13,1.363100578,103.9620123
510A WELLINGTON CIRCLE,1.453474362,103.8203175
251 BT BATOK EAST AVE 5,1.350807033,103.7575336
221C BEDOK CTRL,1.324999166,103.9342344
981B BUANGKOK CRES,1.380469875,103.880038
466 JURONG WEST ST 41,1.349848562,103.722671
407 FAJAR RD,1.381444711,103.7683059
124 PAYA LEBAR WAY,1.323088767,103.8837391
51 LENGKOK BAHRU,1.287613426,103.8122721
467A FERNVALE LINK,1.39798359,103.878459
121 BISHAN ST 12,1.347186678,103.8510492
33 TAMAN HO SWEE,1.288387331,103.8313271
631 WOODLANDS RING RD,1.435321386,103.801399
98 WHAMPOA DR,1.321580687,103.854151
683D WOODLANDS DR 62,1.440746753,103.8031394
255 ANG MO KIO AVE 4,1.370654871,103.8346302
290 BISHAN ST 24,1.356137785,103.8448977
414 CHOA CHU KANG AVE 4,1.382166605,103.7422483
115 LOR 1 TOA PAYOH,1.340631407,103.8443052
111 ANG MO KIO AVE 4,1.37085149,103.8372982
899B WOODLANDS DR 50,1.436133348,103.7952643
202 ANG MO KIO AVE 3,1.36844644,103.8445163
200D SENGKANG EAST RD,1.387261512,103.8930077
911 HOUGANG ST 91,1.378937489,103.8838571
605 CLEMENTI WEST ST 1,1.305384901,103.7680203
44 TEBAN GDNS RD,1.320753918,103.7416002
841 JURONG WEST ST 81,1.344551834,103.6928373
146 YISHUN ST 11,1.431001762,103.8324685
514 SERANGOON NTH AVE 4,1.370890106,103.8743912
221 BOON LAY PL,1.346373764,103.7124728
310C ANG MO KIO AVE 1,1.364611946,103.8448513
313B SUMANG LINK,1.410239547,103.9021436
514 CHOA CHU KANG ST 51,1.390305083,103.7430879
414 SAUJANA RD,1.382733777,103.7690557
6 UPP BOON KENG RD,1.313710021,103.8697978
558 ANG MO KIO AVE 10,1.371236133,103.859192
76A REDHILL RD,1.28871632,103.8168546
311D ANCHORVALE LANE,1.39185684,103.8847024
63 NEW UPP CHANGI RD,1.323784101,103.939939
1 MARSILING DR,1.440671099,103.7757399
709 BEDOK RESERVOIR RD,1.335416066,103.9223501
362 YUNG AN RD,1.336161553,103.7197834
411 JURONG WEST ST 42,1.353722571,103.7252027
670 HOUGANG AVE 8,1.373026896,103.8847732
436 TAMPINES ST 43,1.359589666,103.9515908
280 BT BATOK EAST AVE 3,1.347701477,103.7570446
896B WOODLANDS DR 50,1.436924425,103.7925688
3 PINE CL,1.306928776,103.8831105
603B PUNGGOL RD,1.40314294,103.9083163
511 ANG MO KIO AVE 8,1.37356775,103.8501541
254 ANG MO KIO AVE 4,1.37020344,103.8346877
816 YISHUN ST 81,1.411770944,103.8333683
336B YISHUN ST 31,1.43137338,103.8443314
124 TECK WHYE LANE,1.38010501,103.749632
890A TAMPINES AVE 1,1.346724487,103.9338761
3 REDHILL CL,1.284554804,103.8167009
661 JLN DAMAI,1.334483695,103.9079699
173 HOUGANG AVE 1,1.350124655,103.8888382
682D WOODLANDS DR 73,1.440960638,103.8047265
634 ANG MO KIO AVE 6,1.381582081,103.8432735
270 TAMPINES ST 21,1.34963011,103.9486352
984A BUANGKOK LINK,1.381982707,103.8812177
360 WOODLANDS AVE 5,1.434047752,103.7845013
