,address,LATITUDE,LONGITUDE
90,119C RIVERVALE DR,1.3849637388638,103.903254581819
91,63 COMMONWEALTH DR,1.29882088823232,103.797091199831
92,247 COMPASSVALE RD,1.3920922979789,103.899249247556
93,572A WOODLANDS AVE 1,1.43086687491645,103.78955465026
94,241 BISHAN ST 22,1.36082968527378,103.84547335577
95,115B CANBERRA WALK,1.44631122878781,103.829416902418
96,716 JURONG WEST ST 71,1.34409760357644,103.696723900687
97,21 QUEEN'S CL,1.2932777500051,103.799918049241
98,268 PASIR RIS ST 21,1.36528993396173,103.963014389703
99,112 CLEMENTI ST 13,1.32330123788358,103.769853488209
100,29A CHAI CHEE AVE,1.32488632174354,103.924132068906
101,223A JURONG EAST ST 21,1.3413721526482,103.736754200548
102,41 HOLLAND DR,1.30762004852147,103.793463531218
