school_name,address,postal_code,mrt_desc,dgp_code,zone_code,mainlevel_code
FERNVALE PRIMARY SCHOOL,1    Fernvale Lane,797701,Fernvale LRT (Sengkang West Loop),SENG KANG,NORTH,PRIMARY
PEI HWA SECONDARY SCHOOL,21   FERNVALE LINK,797702,"SENGKANG MRT, LAYAR LRT",SENG KANG,NORTH,SECONDARY
NORTHSHORE PRIMARY SCHOOL,30   Northshore Drive,828671,Puggol Point LRT Station,PUNGGOL,EAST,PRIMARY
PUNGGOL COVE PRIMARY SCHOOL,52   Sumang Walk,828674,Nibong LRT Station,PUNGGOL,EAST,PRIMARY
OASIS PRIMARY SCHOOL,71   Edgefield Plains,828716,Damai LRT Station,PUNGGOL,EAST,PRIMARY
VALOUR PRIMARY SCHOOL,49   Punggol Central,828728,na,PUNGGOL,EAST,PRIMARY
PUNGGOL GREEN PRIMARY SCHOOL,98   Punggol Walk,828772,Punggol MRT Station,PUNGGOL,EAST,PRIMARY
WATERWAY PRIMARY SCHOOL,70   Punggol Drive,828802,Kadaloor LRT Station,PUNGGOL,EAST,PRIMARY
EDGEFIELD SECONDARY SCHOOL,36   PUNGGOL FIELD,828814,PUNGGOL MRT,PUNGGOL,NORTH,SECONDARY
HORIZON PRIMARY SCHOOL,61   Edgedale Plains,828819,Punggol MRT Station (NE17)  (LRT: Kadaloor [PE5] or Oasis [PE6]),PUNGGOL,NORTH,PRIMARY
PUNGGOL VIEW PRIMARY SCHOOL,9    Punggol Place,828845,Punggol MRT Station,PUNGGOL,EAST,PRIMARY
GREENDALE PRIMARY SCHOOL,50   Edgedale Plains,828848,Punggol LRT:  Coral Edge,PUNGGOL,NORTH,PRIMARY
GREENDALE SECONDARY SCHOOL,51   EDGEDALE PLAINS,828866,"PUNGGOL MRT, MERIDIAN LRT",PUNGGOL,NORTH,SECONDARY
MEE TOH SCHOOL,21   EDGEDALE PLAINS,828867,Punggol Station,PUNGGOL,NORTH,PRIMARY
EDGEFIELD PRIMARY SCHOOL,41   EDGEFIELD PLAINS,828869,Punggol MRT,PUNGGOL,NORTH,PRIMARY
PUNGGOL SECONDARY SCHOOL,51   EDGEFIELD PLAINS,828870,"PUNGGOL MRT, COVE LRT",PUNGGOL,NORTH,SECONDARY
