address,mrt,mrt_dist,num_mrt_1km,mall,mall_dist,num_mall_1km,supermarket,supermarket_dist,num_supermarket_1km,hawker_dist,num_hawker_1km,park_dist,num_park_1km,school,school_dist,num_school_1km,number_school_btw_1km_2km,cityhall_dist
354A ADMIRALTY DR,SEMBAWANG MRT STATION,0.1710280070159032,1,Sun Plaza,0.21774355556156588,1,750355,0.06042327456931524,9,0.40155533026717344,1,1.1812173885292923,0,757714,0.36193658331721607,5,2,17.738606250654755
59 JLN MA'MOR,BOON KENG MRT STATION,1.0886613367325395,0,HDB Hub,1.0536538860798192,0,321017,0.2992345958300417,10,0.6128557969356785,5,1.0549165608649245,0,327829,0.7043304800638691,3,6,3.9073688636142445
713 TAMPINES ST 71,TAMPINES MRT STATION,0.7555529743463814,1,Our Tampines Hub,0.7419645805071964,2,521602,0.21103040172385068,8,0.6385804904189151,1,0.7604809004267856,1,529067,0.31975984146324726,1,10,12.008952329974214
461 TAMPINES ST 44,TAMPINES EAST MRT STATION,0.29411690350350195,1,Tampines Mall,1.2810838613159308,0,520475,0.21309968902202484,6,1.6434000077776354,0,0.8434054044170779,1,529176,0.6090770903855983,4,6,13.507614547861328
160B PUNGGOL CTRL,RIVIERA LRT STATION,0.07905848874969588,5,Punggol Plaza,0.3463558912856397,2,820168,0.3409872208255169,7,1.8989687623813192,0,0.7773300774705738,1,828848,0.43099998511195614,4,6,13.345289520001717
924 JURONG WEST ST 92,PIONEER MRT STATION,0.8887465677846722,1,Pioneer Mall,0.8327135316697539,1,640962,0.2536847608952675,4,0.84981594398644,1,0.4599582607101545,1,649037,0.26471324969853316,2,5,18.787340865024824
849 TAMPINES ST 83,TAMPINES WEST MRT STATION,0.8713606695566096,2,Our Tampines Hub,0.5448599974447659,3,521866,0.3154099498412149,8,0.4818044537177961,1,1.2239273131110189,0,529706,0.3870776451340578,4,5,11.398183021965776
6A BOON TIONG RD,TIONG BAHRU MRT STATION,0.4867167559387699,1,Tiong Bahru Plaza,0.48394611863811793,2,169252,0.31883004968207973,11,0.22290542808212344,6,0.36349303376606623,4,169485,0.666907358543137,3,4,2.4044274044050207
863A TAMPINES ST 83,TAMPINES MRT STATION,0.709497255146802,2,Our Tampines Hub,0.4897352368831346,4,521866,0.2616664830821806,11,0.38435824465338514,1,0.9655890331653656,1,529067,0.2888603136001037,4,5,11.67123385388364
403C FERNVALE LANE,FERNVALE LRT STATION,0.5435431551740899,2,Greenwich V,0.43500435740795024,2,791447,0.4252697634028417,7,0.58440137475427,1,0.3046352747661797,6,797701,0.1963842211908926,2,6,10.777768855381254
